Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1961","1961","1000 No","8965000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1962","1962","1000 No","9172000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1963","1963","1000 No","9189000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1964","1964","1000 No","9982000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1965","1965","1000 No","10034000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1966","1966","1000 No","10120000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1967","1967","1000 No","10568000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1968","1968","1000 No","10551000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1969","1969","1000 No","10827000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1970","1970","1000 No","11344000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1971","1971","1000 No","11155000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1972","1972","1000 No","11603000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1973","1973","1000 No","12413000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1974","1974","1000 No","12672000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1975","1975","1000 No","13120000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1976","1976","1000 No","12890000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1977","1977","1000 No","13080000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1978","1978","1000 No","13670000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1979","1979","1000 No","13840000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1980","1980","1000 No","14460000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1981","1981","1000 No","15170000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1982","1982","1000 No","15890000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1983","1983","1000 No","15040000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1984","1984","1000 No","14920000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1985","1985","1000 No","14910000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1986","1986","1000 No","15365000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1987","1987","1000 No","14540000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1988","1988","1000 No","15479000","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","1989","1989","1000 No","14980000","","Official data"
